invoice_bucket,total_clients,churned_quantity,churn_revenue,churn_rate,pct_total_churn_quantity,pct_total_churn_revenue
"> $29,950",20,4,224860.0,0.2,0.0425531914893617,0.18463534396400244
"$19,950 - $29,949",32,8,200670.0,0.25,0.0851063829787234,0.1647726339644951
"$14,950 - $19,949",45,13,224840.0,0.28888888888888886,0.13829787234042554,0.18461892171513966
"$9,950 - $14,949",95,22,274710.0,0.23157894736842105,0.23404255319148937,0.2255677992544299
"$4,000 - $9,949",178,36,264550.0,0.20224719101123595,0.3829787234042553,0.2172252968321482
"$1 - $3,999",50,11,28230.0,0.22,0.11702127659574468,0.023180004269784706
